Slime;Seu movimento lento e velocidade de ataque os tornam mais um incomodo do que uma ameaca.
Rato;O rato tem um machado alojado em seu olho esquerdo, de um encontro anterior, e provavelmente cego.
Morto-vivo;Os mortos-vivos sao vistos como uma maldicao ou uma doenca pelos vivos. Assim como voce e o proximo que vira.
Esqueleto;Utiliza tecnicas de combate habeis e sao rapidos para punir atacantes imprudentes. Equipado com uma pequena espada curva e escudo.
Arqueiro Esqueleto;Utiliza tecnicas de combate habeis e sao rapidos para punir atacantes imprudentes. Equipado com um pequeno arco.
Esqueleto Gigante;Uma versao maior e muito mais poderosa, mas pesada de seu guerreiro esqueletico medio. Felizmente, eles nao sao tao rapidos quanto seus primos menores.
Arqueiro Esqueleto Gigante;Uma versao maior, mais poderosa, mas tambem mais lenta do seu arqueiro esqueletico.
Wheel Skeletons;Esses esqueletos usam uma grande roda com pontas de madeira, permitindo que rolem em sua direcao em alta velocidade, causando assim uma grande quantidade de dano se estiverem em seu caminho.
Demonio asa de Morcego;Um demonio de cor clara relativamente pequeno brandindo uma Lanca do Demonio.
Mimic;Mimics sao inimigos disfarcados de baus de tesouro, dai seu nome. Eles estao esperando pacientemente que um aventureiro credulo venha direto para suas garras gananciosas.
Golem de Cristal;Enormes monstros cristalinos azuis que se movem bem devagar e atacam com grande força.
Black Knight;Outrora orgulhosos Cavaleiros de Prata de gwyn, o Lorde das chamas. Diz-se que esses cavaleiros foram queimados de preto em sua luta com os Demonios do Caos, e isso os levou a ter alta resistencia ao fogo.
Demonio Corvo;Um inimigo alto e imponente com um corpo humano nu emaciado e uma cabeca e asas de corvo substituindo a cabeca e os bracos normais.
Sif;Sif, o Grande Lobo Cinza companheiro de Sir Artorias, o Abysswalker. Depois que Artorias faleceu, o espirito de Sif se tornou o guardiao do tumulo de Artorias apos sua morte.
Arquimago;Arquimagos sao poderosos conjuradores dedicados ao estudo das artes arcanas. poderoso mas fragil.
Izalith;A piromantica mais poderosa, foi uma das divindades que derrotaram os dragoes ha muito tempo atras, onde usou sua Lord Soul para criar grandes tempestades de fogo para derrotar os dragoes.
Nito;Um dos Lordes originais que encontraram uma Lord Soul no nascer da Era do Fogo. Ele controla a morte de toda a vida, e ofereceu muita energia da sua propria alma para a morte. Ele, junto com os outros Lordes, travaram guerra contra os Dragoes.
Gwyn;Com a Alma dos Lordes em maos e um exercito de Cavaleiros Prateados ao seu lado, ele angariou favor com os outros Lordes para declarar Guerra aos Dragoes Eternos, os derrotando numa guerra incrivel e que deu lugar a uma nova era: A Era da Chama. Agora tudo que ele criou esta decaindo.
